"ProcessName","Path","Id"
"svchost","C:\Windows\System32\svchost.exe","2456"
"svchost","C:\Windows\system32\svchost.exe","2528"
"svchost","C:\Windows\System32\svchost.exe","2536"
"svchost","C:\Windows\System32\svchost.exe","2560"
"svchost","C:\Windows\system32\svchost.exe","2592"
"svchost","C:\Windows\system32\svchost.exe","2648"
"svchost","C:\Windows\system32\svchost.exe","2672"
"svchost","C:\Windows\system32\svchost.exe","2708"
"svchost","C:\Windows\System32\svchost.exe","2736"
"svchost","C:\Windows\System32\svchost.exe","2800"
"svchost","C:\Windows\system32\svchost.exe","2820"
"svchost","C:\Windows\System32\svchost.exe","2864"
"svchost","C:\Windows\System32\svchost.exe","3672"
"svchost","C:\Windows\system32\svchost.exe","3972"
"svchost","C:\Windows\system32\svchost.exe","4148"
"svchost","C:\Windows\system32\svchost.exe","4172"
"svchost","C:\Windows\system32\svchost.exe","4312"
"svchost","C:\Windows\System32\svchost.exe","4420"
"svchost","C:\Windows\system32\svchost.exe","4572"
"svchost","C:\Windows\system32\svchost.exe","4796"
"svchost","C:\Windows\System32\svchost.exe","4872"
"svchost","C:\Windows\system32\svchost.exe","5164"
"svchost","C:\Windows\system32\svchost.exe","5500"
"svchost","C:\Windows\system32\svchost.exe","6156"
"svchost","C:\Windows\system32\svchost.exe","6360"
"svchost","C:\Windows\System32\svchost.exe","6880"
"svchost",,"6980"
"svchost","C:\Windows\system32\svchost.exe","7052"
"svchost","C:\Windows\system32\svchost.exe","7160"
"svchost","C:\Windows\system32\svchost.exe","7636"
"System",,"4"
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","1400"
"taskhostw","C:\Windows\system32\taskhostw.exe","4276"
"taskhostw","C:\Windows\system32\taskhostw.exe","7084"
"VGAuthService","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","2784"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","2776"
"vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","4132"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp","C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","6672"
"wininit",,"484"
"winlogon","C:\Windows\system32\winlogon.exe","540"
"WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","2760"
"WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","7296"
